agency_id,route_color,route_desc,route_id,route_long_name,route_short_name,route_text_color,route_type,route_url
BMTC,#FFFFFF,,327H,Krishnarajendra Market - Kamanahalli,BR1645,0,3,
BMTC,#FFFFFF,,327K,Kempegowda Bus Station - Sarjapura Bus Stand,BR1646,0,3,
BMTC,#FFFFFF,,295A,Kempegowda Bus Station - Dodda Gubbi,BR1284,0,3,
BMTC,#FFFFFF,,295B,Kempegowda Bus Station - Anagalipura,BR1285,0,3,
BMTC,#FFFFFF,,295C,Shivajinagar Bus Station - Dodda Gubbi,BR1286,0,3,
BMTC,#FFFFFF,,295D,Shivajinagar Bus Station - Yarappana Bande,BR1287,0,3,
BMTC,#FFFFFF,,295E,Kempegowda Bus Station - Bande Bommasandra,BR1288,0,3,
BMTC,#FFFFFF,,52E,Raghavendra Colony TR Mill - Yeshwanthpura Railway Station,BR2403,0,3,
BMTC,#FFFFFF,,KGR-CKB,Kengeri TTMC - Chikkabanavara,BR3580,0,3,
BMTC,#FFFFFF,,250BA,Kempegowda Bus Station - Sheshadri Nagara,BR773,0,3,
BMTC,#FFFFFF,,327A,Kempegowda Bus Station - Dommasandra,BR1638,0,3,
BMTC,#FFFFFF,,327B,Krishnarajendra Market - Panathuru Dinne,BR1639,0,3,
BMTC,#FFFFFF,,327C,Krishnarajendra Market - Attibele,BR1640,0,3,
BMTC,#FFFFFF,,327D,Kempegowda Bus Station - Gunjoor,BR1641,0,3,
BMTC,#FFFFFF,,BMES-ULS,BM English School - Halasur,BR2694,0,3,
BMTC,#FFFFFF,,327E,Krishnarajendra Market - Gunjur Palya,BR1642,0,3,
BMTC,#FFFFFF,,327F,Krishnarajendra Market - Kodathi,BR1643,0,3,
BMTC,#FFFFFF,,327G,Kempegowda Bus Station - Kuguru,BR1644,0,3,
BMTC,#FFFFFF,,UTH-NBC,Uttarahalli - Nagarabhavi Circle,BR4026,0,3,
BMTC,#FFFFFF,,294C,Shivajinagar Bus Station - Jyothi Nagara,BR1278,0,3,
BMTC,#FFFFFF,,294D,Krishnarajendra Market - Anagalipura,BR1279,0,3,
BMTC,#FFFFFF,,BPH-MDL,Baiyappanahalli Satellite Bus Station - Madiwala MARKET,BR2785,0,3,
BMTC,#FFFFFF,,294A,Krishnarajendra Market - Kada Sonappana Halli,BR1276,0,3,
BMTC,#FFFFFF,,181A,Mahadeshwara Nagara 16th Main - Bhima Jyothi Nagara,BR168,0,3,
BMTC,#FFFFFF,,294B,Kempegowda Bus Station - Jyothi Nagara,BR1277,0,3,
BMTC,#FFFFFF,,328M,Kempegowda Bus Station - Maduranagar,BR1659,0,3,
BMTC,#FFFFFF,,294H,Shivajinagar Bus Station - Rampura,BR1282,0,3,
BMTC,#FFFFFF,,500 J,Hebbal - Hebbala Bridge,BR2316,0,3,
BMTC,#FFFFFF,,294E,Kempegowda Bus Station - Bileshivale,BR1280,0,3,
BMTC,#FFFFFF,,294F,Kempegowda Bus Station - Rampura,BR1281,0,3,
BMTC,#FFFFFF,,3,JPNagara 6th Phase - Girinagara Extention,BR1344,0,3,
BMTC,#FFFFFF,,250CA,Kempegowda Bus Station - Saiyadribalaga Layout,BR775,0,3,
BMTC,#FFFFFF,,2,JPNagara 6th Phase - Kempegowda Bus Station,BR181,0,3,
BMTC,#FFFFFF,,356JE,Electronic City Wipro Gate - Jalahalli cross,BR1920,0,3,
BMTC,#FFFFFF,,293M,Krishnarajendra Market - Byala Halli,BR1271,0,3,
BMTC,#FFFFFF,,1,Jayanagara 9th Block - Yeshwanathapura new railway station,BR2,0,3,
BMTC,#FFFFFF,,293L,Krishnarajendra Market - Yarappana Bande,BR1270,0,3,
BMTC,#FFFFFF,,293S,Kempegowda Bus Station - Bagaluru,BR1274,0,3,
BMTC,#FFFFFF,,DML-KMK,Domlur - Katriguppe Kamkya Talkies,BR3286,0,3,
BMTC,#FFFFFF,,293R,Shivajinagar Bus Station - Chikkajala,BR1273,0,3,
BMTC,#FFFFFF,,250CC,Krishnarajendra Market - Munikondappa Badavane,BR777,0,3,
BMTC,#FFFFFF,,5,Jayanagara 5th Block - Kempegowda Bus Station,BR2313,0,3,
BMTC,#FFFFFF,,293P,Marenahalli Bande - Shivajinagar Bus Station,BR1272,0,3,
BMTC,#FFFFFF,,250CB,Kempegowda Bus Station - Mallasandra Bagalagunte,BR776,0,3,
BMTC,#FFFFFF,,4,Shanthinagar Bus Stand - Shanthinagar Bus Stand,BR2166,0,3,
BMTC,#FFFFFF,,BMT14-YBS,BMT14 - Yeshwanthpur TTMC,BR2744,0,3,
BMTC,#FFFFFF,,MSPL-MRHB,MS Palya - Marathahalli Bridge,BR3780,0,3,
BMTC,#FFFFFF,,328C,Hosakote Bus Stand - Vaidehi Hospital,BR1650,0,3,
BMTC,#FFFFFF,,328A,KR Puram - Varthuru,BR1648,0,3,
BMTC,#FFFFFF,,9,MICO Layout Checkpost - Kempegowda Bus Station,BR2554,0,3,
BMTC,#FFFFFF,,328B,Sarjapura Bus Stand - Hosakote Bus Stand,BR1649,0,3,
BMTC,#FFFFFF,,8,Shivajinagar Bus Station - JP Nagara 15th Cross,BR2510,0,3,
BMTC,#FFFFFF,,328G,Krishnarajendra Market - Halasahalli,BR1653,0,3,
BMTC,#FFFFFF,,328H,Attibele - Hosakote Bus Stand,BR1654,0,3,
BMTC,#FFFFFF,,328E,Krishnarajendra Market - Harohalli,BR1651,0,3,
BMTC,#FFFFFF,,328F,Kempegowda Bus Station - Valepura,BR1652,0,3,
BMTC,#FFFFFF,,50A,Brudavana Nagara Jinke vana - Shivajinagar Bus Station,BR2400,0,3,
BMTC,#FFFFFF,,297F,Krishnarajendra Market - Bhovi Palya,BR1304,0,3,
BMTC,#FFFFFF,,297G,Yelahanka - Dodda Cheemanahalli,BR1305,0,3,
BMTC,#FFFFFF,,297A,Krishnarajendra Market - Indrasanahalli,BR1302,0,3,
BMTC,#FFFFFF,,329J,Shivajinagar Bus Station - Singanayakanahalli,BR1669,0,3,
BMTC,#FFFFFF,,297B,Krishnarajendra Market - Devaganahalli,BR1303,0,3,
BMTC,#FFFFFF,,329M,HAL Main Gate - Muthsandra,BR1671,0,3,
BMTC,#FFFFFF,,329L,HAL Main Gate - Bellikere,BR1670,0,3,
BMTC,#FFFFFF,,328HD,Hoskote - Anekal Bus Stand,BR1658,0,3,
BMTC,#FFFFFF,,297M,Doddaballapura - Devanahalli,BR1308,0,3,
BMTC,#FFFFFF,,328HC,Attibele - Hosakote Bus Stand,BR1657,0,3,
BMTC,#FFFFFF,,297H,Krishnarajendra Market - Hegganahalli,BR1306,0,3,
BMTC,#FFFFFF,,328HB,KR Puram Railway Station - Attibele,BR1656,0,3,
BMTC,#FFFFFF,,297K,Yelahanka - Vishwanathapura,BR1307,0,3,
BMTC,#FFFFFF,,328HA,Kadugodi - Anekal,BR1655,0,3,
BMTC,#FFFFFF,,296T,Kempegowda Bus Station - HBR Layout Ist Stage,BR1299,0,3,
BMTC,#FFFFFF,,296V,Kempegowda Bus Station - HBR Layout BDA Complex,BR1300,0,3,
BMTC,#FFFFFF,,329A,Krishnarajendra Market - Madappanahalli,BR1661,0,3,
BMTC,#FFFFFF,,MDN-BTP,Mahadeshwara Nagara 16th Main - Bagmane Teck Park,BR3699,0,3,
BMTC,#FFFFFF,,D13-JP6,Depot-13-BS - JPNagara 6th Phase,BR3208,0,3,
BMTC,#FFFFFF,,296Q,Shivajinagar Bus Station - HBR Layout Ist Stage,BR1298,0,3,
BMTC,#FFFFFF,,284CA,Shivajinagar Bus Station - Allalasandra Janapriya Apartmet,BR1105,0,3,
BMTC,#FFFFFF,,329F,Krishnarajendra Market - Anugondanahalli,BR1666,0,3,
BMTC,#FFFFFF,,329G,Shivajinagar Bus Station - Koturu,BR1667,0,3,
BMTC,#FFFFFF,,BELC-HALLCA,BEL Circle - HAL-LCA,BR2675,0,3,
BMTC,#FFFFFF,,329H,Kempegowda Bus Station - Bellikere,BR1668,0,3,
BMTC,#FFFFFF,,WFS-1,Borewell - Borewell,BR4241,0,3,
BMTC,#FFFFFF,,329B,Krishnarajendra Market - Janthagondanahalli,BR1662,0,3,
BMTC,#FFFFFF,,WFS-2,Borewell - Borewell,BR4242,0,3,
BMTC,#FFFFFF,,329C,Krishnarajendra Market - Koturu,BR1663,0,3,
BMTC,#FFFFFF,,329D,Shivajinagar Bus Station - Muthsandra,BR1664,0,3,
BMTC,#FFFFFF,,329E,Krishnarajendra Market - Bellikere,BR1665,0,3,
BMTC,#FFFFFF,,296E,Shivajinagar Bus Station - Kammana Halli,BR1293,0,3,
BMTC,#FFFFFF,,296F,Kempegowda Bus Station - Marasandra Bagalur,BR1295,0,3,
BMTC,#FFFFFF,,296C,Kempegowda Bus Station - Kalyananagara Bus Stand,BR1291,0,3,
BMTC,#FFFFFF,,296D,Shivajinagar Bus Station - HBR Layout 5th Block,BR1292,0,3,
BMTC,#FFFFFF,,296A,Kempegowda Bus Station - Yarappanahalli,BR1289,0,3,
BMTC,#FFFFFF,,296B,Kempegowda Bus Station - HBR Layout 5th Block,BR1290,0,3,
BMTC,#FFFFFF,,a,Kempegowda Bus Station - Maratahalli Bridge,BR2588,0,3,
BMTC,#FFFFFF,,296N,Kempegowda Bus Station - Kada Agrahara,BR1297,0,3,
BMTC,#FFFFFF,,296K,Shivajinagar Bus Station - Yelahanka Satelite Town 5th Phase,BR1296,0,3,
BMTC,#FFFFFF,,JFWTC-DAC,JFWTC - Ambedkar College Circle,BR3433,0,3,
BMTC,#FFFFFF,,250AD,Jalahalli Cross - Jalahalli Cross,BR771,0,3,
BMTC,#FFFFFF,,250AC,Yeshwanthpura TTMC - Chikkabanavara,BR770,0,3,
BMTC,#FFFFFF,,250AB,Kempegowda Bus Station - Medarahalli Railway Gate,BR769,0,3,
BMTC,#FFFFFF,,250AA,Krishnarajendra Market - Medarahalli Railway Gate,BR768,0,3,
BMTC,#FFFFFF,,KPC-ORRCA,Kenchanapura Cross - ORRCA-ECOSPICE,BR3638,0,3,
BMTC,#FFFFFF,,323L,Shivajinagar Bus Station - Nerige,BR1624,0,3,
BMTC,#FFFFFF,,210K,Kempegowda Bus Station - Omkaranagara,BR230,0,3,
BMTC,#FFFFFF,,323M,Krishnarajendra Market - Kamnahalli,BR1625,0,3,
BMTC,#FFFFFF,,210J,Kempegowda Bus Station - Chikkalasandra Ramanjaneya Layout,BR229,0,3,
BMTC,#FFFFFF,,323N,Krishnarajendra Market - Kathruguppe,BR1626,0,3,
BMTC,#FFFFFF,,AVLB-BSK,Avalahalli BDA Park - BANASHANKARI TTMC,BR2651,0,3,
BMTC,#FFFFFF,,210I,Kempegowda Bus Station - Chikkallasandra Bus Stand,BR228,0,3,
BMTC,#FFFFFF,,210P,Kempegowda Bus Station - Chikkallasandra Bus Stand,BR242,0,3,
BMTC,#FFFFFF,,210CD,Banashankari Bus Station - Maruthinagara,BR216,0,3,
BMTC,#FFFFFF,,210N,Kempegowda Bus Station - Uttarahalli,BR234,0,3,
BMTC,#FFFFFF,,210CB,Kempegowda Bus Station - Jaraganahalli Cross,BR215,0,3,
BMTC,#FFFFFF,,DAC-JFWTC,Ambedkar College Circle - JFWTC,BR3238,0,3,
BMTC,#FFFFFF,,210D,Krishnarajendra Market - Vasanthapura,BR217,0,3,
BMTC,#FFFFFF,,323D,Krishnarajendra Market - Koothaganahalli,BR1618,0,3,
BMTC,#FFFFFF,,210C,Krishnarajendra Market - Karishma hills,BR213,0,3,
BMTC,#FFFFFF,,323E,Krishnarajendra Market - Nerige,BR1619,0,3,
BMTC,#FFFFFF,,299E,Krishnarajendra Market - Gadenahalli,BR1336,0,3,
BMTC,#FFFFFF,,210B,Krishnarajendra Market - Chunchaghatta,BR212,0,3,
BMTC,#FFFFFF,,323F,Kempegowda Bus Station - Nerige,BR1620,0,3,
BMTC,#FFFFFF,,210A,Kempegowda Bus Station - ISRO Layout,BR210,0,3,
BMTC,#FFFFFF,,323G,Krishnarajendra Market - Ramanayakanahalli,BR1621,0,3,
BMTC,#FFFFFF,,210H,Shivajinagar Bus Station - Uttarahalli,BR225,0,3,
BMTC,#FFFFFF,,323H,Krishnarajendra Market - Nekkundi Dommasandra,BR1622,0,3,
BMTC,#FFFFFF,,210G,Shivajinagar Bus Station - Vasanthapura,BR223,0,3,
BMTC,#FFFFFF,,210F,Shivajinagar Bus Station - Uttarahalli,BR220,0,3,
BMTC,#FFFFFF,,323J,Shivajinagar Bus Station - Koothaganahalli,BR1623,0,3,
BMTC,#FFFFFF,,210E,Kempegowda Bus Station - Vasanthapura,BR218,0,3,
BMTC,#FFFFFF,,298Y,Devanahalli - Yeliyuru,BR1334,0,3,
BMTC,#FFFFFF,,323A,Krishnarajendra Market - Gonighattapura,BR1614,0,3,
BMTC,#FFFFFF,,CR-HAL-2,Avalahalli BDA Park - HAL Main Gate,BR3029,0,3,
BMTC,#FFFFFF,,57A,MCTC Bus Stand - Kempegowda Bus Station,BR2408,0,3,
BMTC,#FFFFFF,,323C,Krishnarajendra Market - Tattanur,BR1617,0,3,
BMTC,#FFFFFF,,323B,Krishnarajendra Market - Kugur Cross,BR1616,0,3,
BMTC,#FFFFFF,,298R,Hosakote Bus Stand - Devanahalli,BR1333,0,3,
BMTC,#FFFFFF,,210CA,Kempegowda Bus Station - Gubbalala,BR214,0,3,
BMTC,#FFFFFF,,375-D,BANASHANKARI TTMC - Chikkanahalli,BR2084,0,3,
BMTC,#FFFFFF,,298L,Devanahalli - Yelahanaka NES Office,BR1315,0,3,
BMTC,#FFFFFF,,211K,Krishnarajendra Market - Gudipalya,BR267,0,3,
BMTC,#FFFFFF,,211J,Kempegowda Bus Station - Vaddarapalya,BR266,0,3,
BMTC,#FFFFFF,,211M,Krishnarajendra Market - Honnalagana Doddi,BR269,0,3,
BMTC,#FFFFFF,,211L,Kempegowda Bus Station - BCC Layout,BR268,0,3,
BMTC,#FFFFFF,,298P,New Devanahalli - Hosakote Bus Stand,BR1328,0,3,
